SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20220119-1827,2022-01-19 18:27:25Z,u01, 1,40,movements,el-ex, rt, d,234869.83539012502, 1.9868891477267485, -0.6824957327262635, 2.686919460448035, 0.03124859556555748, -0.23018094897270203, 0.31767135858535767, 0.7097885608673096, 0.6307317018508911, 0.31365150213241577, 0.0010115504264831543, 0.03032475709915161, 0.002021998167037964, -0.8104478741740706, 0.0, 0.38912538209386965,0.4378989420427837,0.7113189697265625,0.6620025634765625,0.3132781982421875
20220119-1827,2022-01-19 18:27:25Z,u01, 2,40,movements,el-ex, rt, d,234869.860336125, 1.9767050595398823, -0.6756238055917251, 2.680076832449055, 0.1351790577173233, -0.23813197016716003, 0.36082854866981506, 0.716911256313324, 0.6253842115402222, 0.3081110417842865, -0.0020218491554260254, 0.030041754245758057, -0.021276623010635376, -0.8087323568764732, 0.0027371551518620973, 0.3881403992191462,0.4419178145208665,0.71856689453125,0.64599609375,0.28338623046875
20220119-1827,2022-01-19 18:27:25Z,u01, 3,40,movements,el-ex, rt, d,234869.885283125, 1.9639889557355397, -0.6681525914011298, 2.671407211709535, 0.10241462290287018, -0.3499164879322052, 0.448039710521698, 0.7250667810440063, 0.6195368766784668, 0.30075183510780334, 0.3064882755279541, -0.031203925609588623, -0.06598037481307983, -0.8064372493057047, 0.005906050283738001, 0.3873912697519749,0.446712305723928,0.8099212646484375,0.6200714111328125,0.2835693359375
20220119-1827,2022-01-19 18:27:25Z,u01, 4,40,movements,el-ex, rt, d,234869.910229125, 1.9517602883390022, -0.6602329726891987, 2.664545889360061, 0.05199681594967842, -0.32155734300613403, 0.3666451573371887, 0.7332223653793335, 0.6133008599281311, 0.2936781942844391, 0.021523118019104004, -0.02637159824371338, -0.02671074867248535, -0.8042172526537177, 0.008585711399609147, 0.3861256863414274,0.45173864974561145,0.724395751953125,0.5909576416015625,0.273590087890625
20220119-1827,2022-01-19 18:27:25Z,u01, 5,40,movements,el-ex, rt, d,234869.93517512502, 1.939321999902103, -0.6513592039458163, 2.659358366815327, 0.0024727070704102516, -0.40069231390953064, 0.3920917510986328, 0.7418662905693054, 0.6062678694725037, 0.2864850163459778, 0.01495438814163208, -0.016210496425628662, -0.029817193746566772, -0.801950601354931, 0.01085117479356909, 0.3841840406838207,0.45734026415434936,0.7567901611328125,0.590972900390625,0.2570037841796875
20220119-1827,2022-01-19 18:27:25Z,u01, 6,40,movements,el-ex, rt, d,234869.960121125, 1.9265766352446896, -0.6418679062827257, 2.6551119760465025, -0.012521421536803246, -0.4155181348323822, 0.41114264726638794, 0.7508171796798706, 0.5986926555633545, 0.27899834513664246, 0.011176109313964844, -0.019560694694519043, -0.02065250277519226, -0.7995830299103008, 0.012890205001725913, 0.38184776244076674,0.46334962650605166,0.7665252685546875,0.56939697265625,0.260833740234375
20220119-1827,2022-01-19 18:27:25Z,u01, 7,40,movements,el-ex, rt, d,234869.985067125, 1.9142752976774933, -0.6317462086820343, 2.6516219218596278, -0.06506176292896271, -0.40039968490600586, 0.4280635118484497, 0.7598596811294556, 0.5905548334121704, 0.27176839113235474, 0.027097046375274658, -0.031655967235565186, -0.00013172626495361328, -0.79728367546155, 0.014931043523961823, 0.3791454782569143,0.46942992308689196,0.787384033203125,0.5599212646484375,0.2725372314453125
20220119-1827,2022-01-19 18:27:25Z,u01, 8,40,movements,el-ex, rt, d,234870.010014125, 1.9028301071520308, -0.6211608241965664, 2.6493149579996977, -0.04531382396817207, -0.4041178822517395, 0.426401287317276, 0.7687870860099792, 0.581979513168335, 0.2650769054889679, 0.0252649188041687, -0.0023745298385620117, -0.011262565851211548, -0.7951446352671747, 0.016836139104280168, 0.3760256128279924,0.47546408273102075,0.798095703125,0.5814666748046875,0.2441253662109375
20220119-1827,2022-01-19 18:27:25Z,u01, 9,40,movements,el-ex, rt, d,234870.03496012502, 1.8904124279255845, -0.6108683273960622, 2.6450989458869123, 0.03721614181995392, -0.3937974274158478, 0.4309719502925873, 0.7776651978492737, 0.573578953742981, 0.2573787271976471, 0.021574854850769043, 0.014784634113311768, -0.013345122337341309, -0.7926652514028085, 0.019265455820546423, 0.37350575764147254,0.4814602847745627,0.7981719970703125,0.58856201171875,0.2451171875
20220119-1827,2022-01-19 18:27:25Z,u01, 10,40,movements,el-ex, rt, d,234870.059906125, 1.8771849210732516, -0.6011917887764678, 2.6390492430881793, 0.08807599544525146, -0.38459330797195435, 0.42059972882270813, 0.786256730556488, 0.5656257271766663, 0.24873240292072296, 0.013380110263824463, 0.01193469762802124, -0.0005027055740356445, -0.7898589175544374, 0.022115398520567292, 0.37169923792529075,0.4873124384338389,0.799835205078125,0.5731048583984375,0.24761962890625
