SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20220205-1729,2022-02-05 17:29:14Z,u01, 1,40,movements,el-ex, rt, d,13851.971598125001, 1.3437776514439, -0.3792831231603032, 0.30298617392514215, -0.0016395645216107368, 0.673939049243927, -0.0844709649682045, 0.9050955176353455, 0.37025463581085205, -0.20907776057720184, 0.009714603424072266, 0.0014646947383880615, -0.1322309970855713, -0.23809946376567398, 0.582039314050596, 0.7775209362818857,2.7755575615628914e-17,0.9237213134765625,0.378509521484375,-0.3404388427734375
20220205-1729,2022-02-05 17:29:14Z,u01, 2,40,movements,el-ex, rt, d,13851.996542125002, 1.3584540343999767, -0.38023489615082656, 0.2988529094505741, 0.27018579840660095, 0.5909926891326904, -0.020346373319625854, 0.9077216386795044, 0.3711386024951935, -0.1956978589296341, 0.05510789155960083, -0.0053396522998809814, -0.13004696369171143, -0.23722907162815104, 0.5881100549504693, 0.773198347714428,-0.0036458707556225323,0.96282958984375,0.3657989501953125,-0.32574462890625
20220205-1729,2022-02-05 17:29:14Z,u01, 3,40,movements,el-ex, rt, d,13852.021487125001, 1.3690336251390933, -0.37973798195418756, 0.2913651026692199, 0.24524974822998047, 0.780460000038147, -0.25699660181999207, 0.9099218249320984, 0.3706771433353424, -0.18612071871757507, -0.1944981813430786, 0.007862895727157593, -0.07945866882801056, -0.2348049797224899, 0.5931325866512681, 0.7700664359719965,-0.007625834616992039,1.1178436279296875,0.3430633544921875,-0.3002166748046875
20220205-1729,2022-02-05 17:29:14Z,u01, 4,40,movements,el-ex, rt, d,13852.046432125, 1.3793084594167355, -0.38051931518536347, 0.2878441967551301, 0.014442832209169865, 0.4101813733577728, -0.062109798192977905, 0.911501407623291, 0.37140268087387085, -0.17670655250549316, 0.03471130132675171, -0.01506417989730835, -0.06598460674285889, -0.233997389920752, 0.5974043387393496, 0.7669709286045798,-0.010432045213624841,0.9462127685546875,0.3563385009765625,-0.2426910400390625
20220205-1729,2022-02-05 17:29:14Z,u01, 5,40,movements,el-ex, rt, d,13852.071377125001, 1.38913353583357, -0.3821468640075666, 0.2886955459597847, -0.0638660192489624, 0.3625570237636566, -0.054568126797676086, 0.9125978350639343, 0.37291333079338074, -0.16763317584991455, 0.0258634090423584, -0.017139434814453125, -0.0697479248046875, -0.23479252324999902, 0.600879255892599, 0.7639881332869423,-0.01177934380187648,0.9356231689453125,0.3535919189453125,-0.2361907958984375
20220205-1729,2022-02-05 17:29:14Z,u01, 6,40,movements,el-ex, rt, d,13852.096322125, 1.3981360829442262, -0.38353419440591663, 0.2900344839034402, -0.029220858588814735, 0.30499908328056335, -0.03563311696052551, 0.9135593771934509, 0.3742002248764038, -0.15932175517082214, 0.026259899139404297, -0.021554380655288696, -0.0948287844657898, -0.2356451591687287, 0.60399543156628, 0.7612474611629511,-0.012774657170176257,0.9398193359375,0.3526458740234375,-0.254150390625
20220205-1729,2022-02-05 17:29:14Z,u01, 7,40,movements,el-ex, rt, d,13852.121267125001, 1.4043054573859772, -0.3843550723586539, 0.29010488483748764, -0.007019516546279192, 0.18121518194675446, -0.03170914947986603, 0.9142215847969055, 0.37496134638786316, -0.15363168716430664, 0.04366403818130493, -0.013404399156570435, -0.09575806558132172, -0.23592304272322126, 0.6062379655015391, 0.7593595529783902,-0.013740898118518974,0.9572601318359375,0.3627471923828125,-0.2454986572265625
20220205-1729,2022-02-05 17:29:14Z,u01, 8,40,movements,el-ex, rt, d,13852.146212125, 1.407857249019063, -0.38484283986229234, 0.290841866570851, -0.07410813868045807, 0.10666024684906006, -0.015301946550607681, 0.9145808815956116, 0.3754134774208069, -0.15035390853881836, 0.017044365406036377, -0.03875887393951416, -0.08078639209270477, -0.23629833546914586, 0.6074422927295222, 0.7582741774313301,-0.014038884542935004,0.9316253662109375,0.3366546630859375,-0.23114013671875
20220205-1729,2022-02-05 17:29:14Z,u01, 9,40,movements,el-ex, rt, d,13852.171157125002, 1.4112750772354539, -0.3855460574701147, 0.2930234026250888, -0.05222747474908829, 0.11084167659282684, -0.00981476902961731, 0.9148285388946533, 0.3760651648044586, -0.14718519151210785, 0.008862078189849854, -0.02903461456298828, -0.08909730613231659, -0.23719135787569262, 0.6083976194252838, 0.7572323061357892,-0.01384559008832037,0.926544189453125,0.3586883544921875,-0.2343292236328125
20220205-1729,2022-02-05 17:29:14Z,u01, 10,40,movements,el-ex, rt, d,13852.196101125, 1.4122351222996483, -0.384539150439106, 0.291967063416736, 0.07792752981185913, 0.0691300481557846, 0.020683087408542633, 0.9153428077697754, 0.3751319944858551, -0.14636655151844025, 0.03396725654602051, -0.016809940338134766, -0.09455457329750061, -0.2365002274924151, 0.6090027627235468, 0.7569585212471025,-0.014031346261773991,0.949310302734375,0.3583221435546875,-0.2409210205078125
