SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20220227-1538,2022-02-27 15:38:20Z,u01, 1,40,movements,el-ex, rt, d,297395.638988625, -1.1432582945349272, -0.2813641521751903, -0.18169504317307986, 0.6716747283935547, 0.09330426156520844, -0.6344948410987854, -0.8742061853408813, 0.2776664197444916, -0.3983273208141327, -0.24819964170455933, 0.12316662073135376, -0.13342633843421936, -0.16603666302962394, -0.5227505802154808, 0.83615995353385,0.0,-1.122406005859375,0.4008331298828125,-0.5317535400390625
20220227-1538,2022-02-27 15:38:20Z,u01, 2,40,movements,el-ex, rt, d,297395.66393362504, -1.1388050079719787, -0.2589208302645699, -0.1711238066332232, 0.7208234071731567, 0.18386012315750122, -0.7520481944084167, -0.877862811088562, 0.25603750348091125, -0.4047240614891052, -0.24994468688964844, 0.11073794960975647, -0.09806841611862183, -0.15401959295095347, -0.5233697850378393, 0.8380679169909414,-0.0020255805382587977,-1.1722412109375,0.3798980712890625,-0.490814208984375
20220227-1538,2022-02-27 15:38:20Z,u01, 3,40,movements,el-ex, rt, d,297395.688878625, -1.1391429890652973, -0.23985076363439062, -0.16720946249777827, 0.21514207124710083, -0.10965737700462341, -0.5523852705955505, -0.8822743892669678, 0.23755766451358795, -0.40639644861221313, -0.0392647385597229, 0.13657255470752716, -0.2408510148525238, -0.14510888919351306, -0.5251144558118477, 0.8385508417177211,-0.005527078384637396,-0.921539306640625,0.3741302490234375,-0.647247314453125
20220227-1538,2022-02-27 15:38:20Z,u01, 4,40,movements,el-ex, rt, d,297395.713823625, -1.1438491761357665, -0.229297767910505, -0.17091689081548914, -0.07443412393331528, -0.21538573503494263, -0.34793901443481445, -0.8864098787307739, 0.2272937297821045, -0.40325552225112915, -0.386646032333374, 0.14668390154838562, -0.1667671799659729, -0.14173659197156144, -0.5275253291790787, 0.8375771184222898,-0.009607998330397216,-1.27508544921875,0.366668701171875,-0.58197021484375
20220227-1538,2022-02-27 15:38:20Z,u01, 5,40,movements,el-ex, rt, d,297395.73876850004, -1.1511081167145985, -0.2250068573898969, -0.17631108449565272, -0.12483920902013779, -0.2533101439476013, -0.14378713071346283, -0.8901962041854858, 0.2231130450963974, -0.39720430970191956, -0.4109663963317871, 0.1859750747680664, -0.16485333442687988, -0.14143137973906167, -0.5304667805704537, 0.8357304279756498,-0.012521018142718443,-1.3011627197265625,0.409088134765625,-0.5620574951171875
20220227-1538,2022-02-27 15:38:21Z,u01, 6,40,movements,el-ex, rt, d,297395.7637135, -1.1581085068787902, -0.22385164713689332, -0.1797549374663445, -0.05926985293626785, -0.23980645835399628, -0.04753316938877106, -0.893190324306488, 0.2219868004322052, -0.3910659849643707, -0.42800694704055786, 0.22147934138774872, -0.17961284518241882, -0.14191731447274325, -0.5332227378836975, 0.833872210926007,-0.013779421679610049,-1.3179931640625,0.4294281005859375,-0.5730743408203125
20220227-1538,2022-02-27 15:38:21Z,u01, 7,40,movements,el-ex, rt, d,297395.7886585, -1.163862930798164, -0.22396052375049666, -0.17889842866492653, 0.07272163778543472, -0.23388272523880005, 0.08912301808595657, -0.8954038023948669, 0.22209297120571136, -0.3859102129936218, -0.481533944606781, 0.28802356123924255, -0.16485595703125, -0.1417716759022003, -0.5356731119583987, 0.832337957558797,-0.012984530632907276,-1.3769378662109375,0.5101165771484375,-0.5507659912109375
20220227-1538,2022-02-27 15:38:21Z,u01, 8,40,movements,el-ex, rt, d,297395.8136035, -1.1698948470549506, -0.22807479892070157, -0.17678606993714208, -0.11216539144515991, -0.2838231325149536, 0.24483779072761536, -0.8968663215637207, 0.22610260546207428, -0.3801423907279968, -0.57789546251297, 0.27223414182662964, -0.2187804877758026, -0.1429279253606682, -0.5380524259629362, 0.8306383002912874,-0.010538210417256,-1.4644317626953125,0.50018310546875,-0.586700439453125
20220227-1538,2022-02-27 15:38:21Z,u01, 9,40,movements,el-ex, rt, d,297395.83854850003, -1.1801753073412744, -0.2390988406333191, -0.1817618490486504, -0.5862669944763184, -0.45397287607192993, 0.4112359583377838, -0.8983674645423889, 0.23682719469070435, -0.3699307143688202, -0.6350187063217163, 0.25600114464759827, -0.23575183749198914, -0.14882644822853427, -0.5411888144555346, 0.8275797575602846,-0.008780957698658332,-1.53338623046875,0.492828369140625,-0.605682373046875
20220227-1538,2022-02-27 15:38:21Z,u01, 10,40,movements,el-ex, rt, d,297395.86349350004, -1.1970004983106874, -0.257051164049673, -0.19436766113005463, -0.8155917525291443, -0.6394798159599304, 0.545052170753479, -0.9003605842590332, 0.25422972440719604, -0.3531542718410492, -0.6994775533676147, 0.28138425946235657, -0.27741533517837524, -0.1596104087958434, -0.5458455668457747, 0.8225076132158983,-0.007632048786257006,-1.595855712890625,0.5287628173828125,-0.621673583984375
20220227-1538,2022-02-27 15:38:21Z,u01, 11,40,movements,el-ex, rt, d,297395.8884385, -1.2192655630982054, -0.2785892720219646, -0.20991205136094165, -0.8942767977714539, -0.8118048906326294, 0.6301881074905396, -0.9026488065719604, 0.27499958872795105, -0.3310592770576477, -0.708740234375, 0.27903175354003906, -0.3063310384750366, -0.17260954968779907, -0.5519749137374041, 0.8157779132270364,-0.00599894135258483,-1.61138916015625,0.5540313720703125,-0.63739013671875
20220227-1538,2022-02-27 15:38:21Z,u01, 12,40,movements,el-ex, rt, d,297395.9133835, -1.2458000928288007, -0.30087097053594963, -0.22526863717814338, -0.7913059592247009, -0.9427869319915771, 0.6730881929397583, -0.9050822257995605, 0.29635217785835266, -0.304961621761322, -0.7188801765441895, 0.26018163561820984, -0.2848213016986847, -0.1857812280764753, -0.5594680688119142, 0.8077558022414226,-0.0033778205249875293,-1.6210174560546875,0.5517578125,-0.59503173828125
20220227-1538,2022-02-27 15:38:21Z,u01, 13,40,movements,el-ex, rt, d,297395.9383285, -1.2741038158323088, -0.32197579951425015, -0.23726972524720244, -0.5862631797790527, -1.0200247764587402, 0.6597344875335693, -0.9071658849716187, 0.31644144654273987, -0.2773350775241852, -0.7026667594909668, 0.22414690256118774, -0.27102017402648926, -0.19743824971993254, -0.5677592753668594, 0.7991663486848403,0.0007656713619850208,-1.609832763671875,0.54058837890625,-0.5483551025390625
20220227-1538,2022-02-27 15:38:21Z,u01, 14,40,movements,el-ex, rt, d,297395.96327350003, -1.3030235198234401, -0.3411770984427698, -0.24500493499969977, -0.4090670347213745, -1.0931930541992188, 0.6612071990966797, -0.9087780117988586, 0.33459657430648804, -0.24933399260044098, -0.5801286697387695, 0.1787395179271698, -0.22257475554943085, -0.20700099133643865, -0.5766139039236244, 0.7903326490803546,0.00641442407065107,-1.5089111328125,0.5283050537109375,-0.4932403564453125
20220227-1538,2022-02-27 15:38:21Z,u01, 15,40,movements,el-ex, rt, d,297395.98821850005, -1.3324813008124003, -0.3593732293933797, -0.24909014575001834, -0.2824554145336151, -1.1543365716934204, 0.6834433078765869, -0.9096599817276001, 0.35168758034706116, -0.22098511457443237, -0.5112841129302979, 0.10822758078575134, -0.17874956130981445, -0.21495181904335092, -0.5859207774760598, 0.7812232882807957,0.01351448721266274,-1.4209442138671875,0.4599151611328125,-0.3997344970703125
20220227-1538,2022-02-27 15:38:21Z,u01, 16,40,movements,el-ex, rt, d,297396.0131635, -1.3629626287316596, -0.3776179888289965, -0.25201553270626764, -0.29612797498703003, -1.200858235359192, 0.6904358863830566, -0.9095417857170105, 0.3687073290348053, -0.19180305302143097, -0.3878060579299927, -9.268522262573242e-06, -0.12644962966442108, -0.22237234325389602, -0.5955241505930309, 0.7716490628117609,0.021426930471671823,-1.311920166015625,0.385589599609375,-0.33245849609375
20220227-1538,2022-02-27 15:38:21Z,u01, 17,40,movements,el-ex, rt, d,297396.0381085, -1.3948500576682847, -0.3966706605963162, -0.2567367755397851, -0.2991696298122406, -1.1939023733139038, 0.734301745891571, -0.9081125259399414, 0.3863496780395508, -0.16144844889640808, -0.3312826156616211, -0.0738801658153534, -0.08948256075382233, -0.23039240156400181, -0.6051405768346871, 0.7614889634115166,0.029304862646196195,-1.2393951416015625,0.312469482421875,-0.2509307861328125
20220227-1538,2022-02-27 15:38:21Z,u01, 18,40,movements,el-ex, rt, d,297396.0630535, -1.4238699341713112, -0.4161583849687436, -0.2572321510957033, 0.015981724485754967, -1.1110135316848755, 0.7839810252189636, -0.904793918132782, 0.40424972772598267, -0.13390302658081055, -0.24448269605636597, -0.12730273604393005, 0.02890712022781372, -0.23709636162610184, -0.6138679005355352, 0.7519597645065308,0.038832351454201885,-1.166290283203125,0.2808380126953125,-0.1316986083984375
20220227-1538,2022-02-27 15:38:21Z,u01, 19,40,movements,el-ex, rt, d,297396.08799850004, -1.448074950572838, -0.43505533711772304, -0.25187635185083407, 0.11036651581525803, -1.008716106414795, 0.7473249435424805, -0.9000263214111328, 0.4214605987071991, -0.11101032048463821, -0.20947057008743286, -0.19637829065322876, 0.06213618069887161, -0.24163776759593114, -0.6213743068607296, 0.7436464536372557,0.049949318579187496,-1.1094970703125,0.2250823974609375,-0.0488739013671875
